,CATEGORY,LATN,DEVA,TELU,TAML,MLYM,KNDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,a,अ,అ,அ,അ,ಅ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ka,क,క,க,ക,ಕ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ā,आ,ఆ,ஆ,ആ,ಆ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kā,का,కా,கா,കാ,ಕಾ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ê,इ,ఇ,இ,ഇ,ಇ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ki,कि,కి,கி,കി,ಕಿ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ī,ई,ఈ,ஈ,ഈ,ಈ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kī,की,కీ,கீ,കീ,ಕೀ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,u,उ,ఉ,உ,ഉ,ಉ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ku,कु,కు,கு,കു,ಕು,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ū,ऊ,ఊ,ஊ,ഊ,ಊ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kū,कू,కూ,கூ,കൂ,ಕೂ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,e,ऎ,ఎ,எ,എ,ಎ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ke,कॆ,కె,கெ,കെ,ಕೆ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ē,ए,ఏ,ஏ,ഏ,ಏ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kē,के,కే,கே,കേ,ಕೇ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ai,ऐ,ఐ,ஐ,ഐ,ಐ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kai,कै,కై,கை,കൈ,ಕೈ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,o,ऒ,ఒ,ஒ,ഒ,ಒ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ko,कॊ,కొ,கொ,കൊ,ಕೊ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,ō,ओ,ఓ,ஓ,ഓ,ಓ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kō,को,కో,கோ,കോ,ಕೋ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,au,औ,ఔ,ஔ,ഔ,ಔ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kau,कौ,కౌ,கௌ,കൌ,ಕೌ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,r̥,ऋ,ఋ,ఋ,ഋ,ಋ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kr̥,कृ,కృ,,കൃ,ಕೃ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,r̥̄,ॠ,ౠ,,ൠ,ೠ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kr̥̄,कॄ,కౄ,,കൄ,ಕೄ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,l̥,ऌ,ఌ,,ഌ,ಌ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOWEL,kl̥,कॢ,కౢ,,കൢ,ಕೢ,,,,,,,,,,,,,,,,,,,,,,,,,,,
